keyword,dizi,dizi_anahtar,kategori,tur,tur_ham,cikis_yili,sezon_sayisi,durum,sayfa_tipi,intent_katmani,entity_tipi,sezon_no,belirsiz_ad,marka_tipi,dil,erisim,apple_resmi
foundation dizizon,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation filmizlech,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation filmkutusu,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation filmmakinesi,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation filmzal,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation fullhdfilmizlesene,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation fullkoredizi,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation hdfilmcehennemi,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation hdfilmizle,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation hdfilmizlesene,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation hdfilmizleyelim,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation kesintisizfullhdfilmizle,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation korediziizletr,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation lovefilmizle,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation mnfilmizle,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation roketdizi,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation sinekfilmizle,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation siyahfilmizle,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
foundation tranimeizle,Foundation,foundation,Drama,Science fiction,Science fiction,2021,3,Devam,Korsan Markalı,İzleme,Dizi,,hayır,Korsan Markalı,tr,Doğrulanacak,evet
